county_name,state_name,fips,area_ha,farm_cnt,farm_area_mean_ac,farm_area_km2,corn_planted_ac,soy_planted_ac,corn_harvest_ac,corn_harvest_ha,soy_harvest_ac,soy_harvest_ha,corn_yield_bu_per_ac,corn_yield_kg_per_ha,soy_yield_bu_per_ac,soy_yield_kg_per_ha,corn_econ_loss_usd,soy_econ_loss_usd,farm_econ_loss_mean_usd,farm_econ_loss_min_usd,farm_econ_loss_max_usd,econ_loss_mean_usd,econ_loss_min_usd,econ_loss_max_usd,econ_loss_usd_per_ha,econ_loss_usd_per_km2,topsoil_loss_km2,topsoil_loss_frac,topsoil_loss_error_frac,state_econ_loss_usd,state_topsoil_loss_frac
Sioux,Iowa,19167,165338.5168,1618,299,1653.385168,254900,155100,216100,87520.5,154120,62418.6,206,12919.50617,64,4298.271605,5582437.133,3253844.365,6471.74977,5695.139797,7248.359742,8836281.498,7775927.718,9896635.278,53.44357545,547.0621665,547.0621665,0.330874001,0.127988266,724886364,0.365028821
Tama,Iowa,19171,137143.3296,1132,356,1371.433296,167900,141500,165520,67035.6,140640,56959.2,204,12794.07407,58,3895.308642,4809466.64,3056392.119,8269.447149,7277.113491,9261.780807,7865858.76,6921955.708,8809761.811,57.35502253,515.4087068,515.4087068,0.375817554,0.138592884,724886364,0.365028821
Taylor,Iowa,19173,96094.04,639,436,960.9404,83425,86066,82050,33230.25,85600,34668,166,10410.8642,51,3425.185185,2237709.197,1886760.878,7579.022858,6669.540115,8488.505601,4124470.074,3629533.665,4619406.483,42.92118506,416.5567879,416.5567879,0.433488682,0.148268381,724886364,0.365028821
Union,Iowa,19175,70576.3456,648,331,705.763456,54400,51740,52500,21262.5,51480,20849.4,165,10348.14815,48,3223.703704,1432063.779,1074619.796,4761.276088,4189.922957,5332.629218,2506683.575,2205881.546,2807485.604,35.51733309,307.8499376,307.8499376,0.436194216,0.149527131,724886364,0.365028821
Van Buren,Iowa,19177,66619.1856,753,283,666.191856,51820,49100,48720,19731.6,48720,19731.6,169,10599.01235,48,3223.703704,1279598.008,956057.5519,3846.33435,3384.774228,4307.894473,2235655.56,1967376.893,2503934.227,33.55873446,273.1742003,273.1742003,0.410053347,0.140688045,724886364,0.365028821
Wapello,Iowa,19179,61709.632,742,255,617.09632,58950,53040,56975,23074.875,52640,21319.2,175,10975.30864,52,3492.345679,1496169.823,1080522.168,4312.25818,3794.787198,4829.729161,2576691.991,2267488.952,2885895.03,41.7551022,244.3274459,244.3274459,0.39593081,0.139518378,724886364,0.365028821
Warren,Iowa,19181,89494.1776,1334,198,894.941776,64780,69300,62880,25466.4,68620,27791.1,173,10849.87654,51,3425.185185,1743702.789,1475674.811,2884.67805,2538.516684,3230.839417,3219377.6,2833052.288,3605702.912,35.97303966,378.5030623,378.5030623,0.422935964,0.144942253,724886364,0.365028821
Washington,Iowa,19183,104066.976,1139,276,1040.66976,119900,94860,117280,47498.4,93520,37875.6,205,12856.79012,58,3895.308642,3551179.514,2107576.019,6078.159641,5348.780484,6807.538798,5658755.533,4979704.869,6337806.197,54.37609269,405.5725313,405.5725313,0.389722606,0.139771497,724886364,0.365028821
Wayne,Iowa,19185,92280.8656,691,396,922.808656,59275,68875,57175,23155.875,68425,27712.125,168,10536.2963,48,3223.703704,1552098.117,1396097.37,5123.831351,4508.971589,5738.691113,2948195.487,2594412.029,3301978.946,31.94806928,393.4378759,393.4378759,0.426348272,0.148812882,724886364,0.365028821
Winneshiek,Iowa,19191,117680.2976,1535,245,1176.802976,168100,67340,154200,62451,66960,27118.8,193,12104.19753,53,3559.506173,4600514.112,1443151.574,5095.863453,4484.359839,5707.367067,6043665.686,5318425.804,6768905.568,51.35664856,479.9867319,479.9867319,0.407873486,0.143648092,724886364,0.365028821
Woodbury,Iowa,19193,156532.2048,973,458,1565.322048,211800,169200,203060,82239.3,168400,68202,200,12543.20988,57,3828.148148,5750273.933,3575255.207,11050.71255,9724.627045,12376.79806,9325529.14,8206465.643,10444592.64,59.57578603,584.7882652,584.7882652,0.373589745,0.13831854,724886364,0.365028821
Dodge,Minnesota,27039,97327.08,621,363,973.2708,124800,87320,120780,48915.9,86740,35129.7,201,12605.92593,56,3760.987654,2777481.51,1461919.594,6403.721897,5635.27527,7172.168525,4239401.105,3730672.972,4748129.237,43.55828927,293.801885,293.801885,0.301870646,0.120090732,548010849,0.331224973
Fillmore,Minnesota,27045,145717.0784,1553,272,1457.170784,182700,93660,169480,68639.4,93060,37689.3,194,12166.91358,54,3626.666667,4954832.93,1992147.939,5251.816883,4621.598857,5882.034909,6946980.869,6113343.164,7780618.573,47.6744452,579.4021137,579.4021137,0.397621281,0.141221662,548010849,0.331224973
